name,stadium,city,state,conference,capacity,record,built,expanded,statefp,placefp,alt
Missouri,Faurot Field,Columbia,MO,SEC,71004,75298,1927,1997,29,15670,
Navy,Navy–Marine Corps Memorial Stadium,Annapolis,MD,Independent,34000,37970,1959,2005,24,1600,
NC State,Carter–Finley Stadium,Raleigh,NC,ACC,57583,57583,1966,2006,37,55000,North Carolina State
Nebraska,Memorial Stadium,Lincoln,NE,Big Ten,87091,91471,1923,2013,31,28000,
Nevada,Mackay Stadium,Reno,NV,Mountain West,29993,33391,1966,1992,32,60600,
New Mexico,University Stadium,Albuquerque,NM,Mountain West,39224,44760,1960,2007,35,2000,
New Mexico State,Aggie Memorial Stadium,Las Cruces,NM,Independent,30343,32993,1978,2005,35,39380,
NIU,Brigham Field at Huskie Stadium,DeKalb,IL,MAC,25500,28221,1965,1995,17,19161,Northern Illinois
North Carolina,Kenan Memorial Stadium,Chapel Hill,NC,ACC,62980,62000,1927,2011,37,11800,
North Texas,Apogee Stadium,Denton,TX,C-USA,30850,28075,2011,,48,19972,
Northwestern,Ryan Field,Evanston,IL,Big Ten,47130,55752,1926,1997,17,24582,
Notre Dame,Notre Dame Stadium,Notre Dame,IN,Independent,80795,80795,1930,1997,18,55386,
Ohio,Peden Stadium,Athens,OH,MAC,24000,25893,1929,2001,39,2736,
Ohio State,Ohio Stadium,Columbus,OH,Big Ten,102329,106102,1922,2001,39,18000,
Oklahoma,Gaylord Family Oklahoma Memorial Stadium,Norman,OK,Big 12,82112,86031,1925,2003,40,52500,
Oklahoma State,Boone Pickens Stadium,Stillwater,OK,Big 12,60218,59061,1920,2005,40,70300,
Old Dominion,Foreman Field at S. B. Ballard Stadium,Norfolk,VA,C-USA,20118,,1936,2013,51,57000,
Oregon,Autzen Stadium,Eugene,OR,Pac-12,54000,60055,1967,2002,41,23850,
Oregon State,Reser Stadium,Corvallis,OR,Pac-12,45674,46469,1953,2005,41,15800,
Penn State,Beaver Stadium,University Park,PA,Big Ten,106572,110753,1960,2001,42,73808,
Pittsburgh,Heinz Field,Pittsburgh,PA,ACC,65050,66731,2001,,42,61000,
Purdue,Ross–Ade Stadium,West Lafayette,IN,Big Ten,62500,71629,1924,2006,18,82862,
Rice,Rice Stadium,Houston,TX,C-USA,47000,73000,1950,,48,35000,
Rutgers,High Point Solutions Stadium,Piscataway,NJ,American,52454,53737,1994,2009,34,51210,
San Diego State,Qualcomm Stadium,San Diego,CA,Mountain West,70561,68537,1967,1997,6,66000,
San Jose State,Spartan Stadium,San Jose,CA,Mountain West,30456,31681,1933,1985,6,68000,
SMU,Gerald J. Ford Stadium,University Park,TX,American,32000,35481,2000,,48,74492,Southern Methodist
South Alabama,Ladd Peebles Stadium,Mobile,AL,Sun Belt,40646,26783,1948,2009,1,50000,
South Carolina,Williams-Brice Stadium,Columbia,SC,SEC,80250,85199,1934,1996,45,16000,
Southern California,Los Angeles Memorial Coliseum,Los Angeles,CA,Pac-12,93607,105236,1923,2008,6,44000,USC
Southern Miss,M. M. Roberts Stadium,Hattiesburg,MS,C-USA,36000,36232,1932,2008,28,31020,
Stanford,Stanford Stadium,Stanford,CA,Pac-12,50000,51607,1921,2006,6,73906,
Syracuse,Carrier Dome,Syracuse,NY,ACC,49250,50564,1980,,36,73000,
TCU,Amon G. Carter Stadium,Fort Worth,TX,Big 12,45000,50307,1929,2012,48,27000,
Temple,Lincoln Financial Field,Philadelphia,PA,American,68532,69029,2003,,42,60000,
Tennessee,Neyland Stadium,Knoxville,TN,SEC,102455,109061,1921,2009,47,40000,
Texas,Darrell K Royal–Texas Memorial Stadium,Austin,TX,Big 12,100119,101851,1924,2009,48,5000,
Texas A&M,Kyle Field,College Station,TX,SEC,82589,90079,1927,2007,48,15976,
Texas State,Jim Wacker Field at Bobcat Stadium,San Marcos,TX,Sun Belt,30000,33006,1981,2012,48,65600,
Texas Tech,Jones AT&T Stadium,Lubbock,TX,Big 12,60862,60879,1947,2013,48,45000,
Toledo,Glass Bowl,Toledo,OH,MAC,26248,36852,1937,1990,39,77000,
Troy,Veterans Memorial Stadium,Troy,AL,Sun Belt,30000,26574,1950,2003,1,76920,
Tulane,Mercedes-Benz Superdome,New Orleans,LA,C-USA,69703,79651,1975,2006,22,55000,
Tulsa,Skelly Field at H. A. Chapman Stadium,Tulsa,OK,C-USA,35542,47350,1930,2005,40,75000,
UCF,Bright House Networks Stadium,Orlando,FL,American,45323,48453,2007,,12,53000,
