position,location,school,height,weight,fourty,stars,rating,rank,institution,name,year
qb,"Duncan, Oklahoma",Duncan,65,208,4.7,0,,,Army,Brandon Carletti-Silva,2012
de,"Mechanicsville, Virginia",Atlee,78,256,5.1,0,,,listClose this windowJames Madison (medium)Old Dominion (medium)Richmond (medium)Virginia Military (medium),Cole Stout,2012
ath,"Hampton, Virginia",Bethel,65,165,4.8,0,,,listClose this windowJames Madison (medium),Willie Davis,2012
lb,"Front Royal, Virginia",Warren County,78,212,,0,,,James Madison,Gage Steele,2012
lb,"Chesapeake, Virginia",Oscar Smith,78,210,4.5,3,5.5,,James Madison,Rhakeem Stallings,2012
te,"Yorktown, Virginia",Grafton,78,230,4.7,2,5.4,,James Madison,Dylan Stallings,2012
qb,"Newark, Delaware",Newark,78,185,,2,5.2,,James Madison,Taylor Reynolds,2012
ol,"Washington, District of Columbia",St. John's College High,78,270,5.0,0,,,James Madison,Mitch Kirsch,2012
ath,"Mechanicsville, Virginia",Hanover,65,173,4.6,0,,,James Madison,Xavier Crocker,2012
qb,"Chesterfield, Virginia",Matoaca,78,216,,0,,,James Madison,Michael Birdsong,2012
dt,"Ashburn, Virginia",Briar Woods,65,263,5.1,2,5.3,,James Madison,Justin Baker,2012
lb,"Woodbridge, Virginia",Woodbridge Senior,78,230,4.7,2,5.4,,Central Connecticut State,Darius Parson,2012
wr,"Loxahatchee, Florida",Seminole Ridge,78,160,4.7,0,,,Marist,Darian Williams,2012
lb,"New Canaan, Connecticut",New Canaan,78,200,,0,,,Army,Dylan Leeming,2012
ath,"Mastic Beach, New York",William Floyd,65,180,4.4,3,5.5,,Massachusetts,Stacey Bedell,2012
ol,"Monterey, California",Monterey Peninsula,78,295,,2,5.2,,San Diego State,Terry Poole,2012
rb,"Salinas, California",Hartnell C.C.,78,190,,3,5.5,,San Jose State,Alvin Jelks,2012
k,"Garland, Texas",Garland,65,190,,2,5.2,,West Virginia,Josh Lambert,2012
db,"San Pablo, California",Contra Costa C.C.,78,175,,2,5.4,,New Mexico State,Cameron Fuller,2012
