position,location,school,height,weight,fourty,stars,rating,rank,institution,name,year
wr,"Crete, Illinois",Crete Monee,78,198,4.5,5,6.1,1,Mississippi,Laquon Treadwell,2013
rb,"Richmond, Virginia",Hermitage,78,220,4.4,5,6.1,1,Michigan,Derrick Green,2013
db,"Murrieta, California",Vista Murrieta,78,205,,5,6.1,1,USC,Su'a Cravens,2013
db,"Tampa, Florida",Wharton,65,185,,5,6.1,1,Florida,Vernon Hargreaves III,2013
lb,"Auburn, Alabama",Auburn,78,244,,5,6.1,1,Alabama,Reuben Foster,2013
lb,"Fort Wayne, Indiana",Bishop Luers,78,212,4.6,5,6.1,1,Notre Dame,Jaylon Smith,2013
rb,"Virginia Beach, Virginia",Bayside,65,183,4.6,5,6.1,1,Virginia,Taquan Mizzell,2013
te,"Autauga, Alabama",Autauga Academy,78,235,4.5,5,6.1,1,Alabama,O.J. Howard,2013
ol,"Lake City, Florida",Columbia,78,295,,5,6.1,1,Mississippi,Laremy Tunsil,2013
qb,"Sammamish, Washington",Skyline,78,215,,5,6.1,1,USC,Max Browne,2013
dt,"Elkton, Maryland",Eastern Christian Academy,78,295,,5,6.1,1,USC,Kenny Bigelow,2013
de,"Alpharetta, Georgia",Milton,78,253,4.7,5,6.1,1,Auburn,Carl Lawson,2013
de,"Loganville, Georgia",Grayson,78,260,,5,6.1,1,Mississippi,Robert Nkemdiche,2013
ath,"Middletown, Ohio",Middletown,65,196,4.7,4,6.0,1,Ohio State,Jalin Marshall,2013
qb,"Harbor City, California",Narbonne,78,173,,4,6.0,1,Washington,Troy Williams,2013
ol,"Killeen, Texas",Harker Heights,78,319,,4,6.0,1,Texas,Darius James,2013
rb,"Staten Island, New York",Tottenville,78,222,4.5,3,5.6,1,Miami (FL),Augustus Edwards,2013
ol,"Elkton, Maryland",Eastern Christian Academy,78,300,,4,6.0,1,USC,Khaliel Rodgers,2013
k,"Toledo, Ohio",Ottawa Hills,65,180,,3,5.5,1,Michigan State,Michael Geiger,2013
db,"Seffner, Florida",Armwood,78,185,4.6,5,6.1,2,USC,Leon McQuay III,2013
db,"Olney, Maryland",Good Counsel,65,189,4.5,5,6.1,2,Virginia Tech,Kendall Fuller,2013
qb,"Fork Union, Virginia",Fork Union Military Academy,78,212,4.8,5,6.1,2,Penn State,Christian Hackenberg,2013
ol,"Belle Vernon, Pennsylvania",Belle Vernon Area,78,280,4.9,5,6.1,2,Pittsburgh,Dorian Johnson,2013
lb,"Wyomissing, Pennsylvania",Wyomissing Area,78,229,4.7,5,6.1,2,Florida,Alex Anzalone,2013
dt,"Auburn, California",Placer,78,310,5.1,5,6.1,2,Notre Dame,Eddie Vanderdoes,2013
de,"Houston, Mississippi",Houston,78,250,,5,6.1,2,Mississippi State,Chris Jones,2013
rb,"Beaverton, Oregon",Aloha,78,200,4.4,5,6.1,2,Oregon,Thomas Tyner,2013
lb,"Miami, Florida",Booker T. Washington,78,205,4.6,5,6.1,2,Florida State,Matthew Thomas,2013
de,"Ashburn, Virginia",Stone Bridge,78,263,4.5,5,6.1,2,Alabama,Jonathan Allen,2013
ol,"Marietta, Georgia",Walton,78,289,5.4,4,5.9,2,Georgia,Brandon Kublanow,2013
rb,"Norcross, Georgia",Norcross,65,197,4.6,4,6.0,2,Alabama,Alvin Kamara,2013
ol,"Madison, Florida",Madison,78,317,5.7,4,6.0,2,Florida State,Ira Denson,2013
qb,"Las Vegas, Nevada",Bishop Gorman,78,202,,4,5.9,2,Arizona,Anu Solomon,2013
