position,location,school,height,weight,fourty,stars,rating,rank,institution,name,year
qb,"Corona, California",Centennial,78,232,4.8,4,5.8,8,Arizona State,Michael Eubank,2011
de,"Shreveport, Louisiana",Evangel Christian,78,227,,4,5.8,8,LSU,Jermauria Rasco,2011
lb,"Absecon, New Jersey",Holy Spirit,78,220,4.5,4,5.8,8,USC,Anthony Sarao,2011
ath,"East St. Louis, Illinois",East St. Louis,65,175,4.5,4,5.8,8,Kansas,Anthony Pierson,2011
te,"Strongsville, Ohio",Strongsville,78,230,4.7,4,5.8,8,Iowa,Ray Hamilton,2011
qb,"Wheaton, Illinois",Wheaton Warrenville South,78,215,,3,5.7,8,Illinois,Reilly O'Toole,2011
db,"Groveland, Florida",South Lake,65,171,4.4,4,5.8,8,Florida State,Nick Waisome,2011
ol,"Destrehan, Louisiana",Destrehan,78,295,5.4,3,5.7,8,Mississippi,Ethan Hutson,2011
k,"Flowery Branch, Georgia",Flowery Branch,78,180,,2,5.4,8,Duke,Will Monday,2011
qb,"Charlotte, North Carolina",Mallard Creek,78,218,4.7,4,5.8,9,North Carolina,Marquise Williams,2011
lb,"Virginia Beach, Virginia",Kempsville,78,228,4.6,4,5.8,9,North Carolina,Travis Hughes,2011
dt,"Manning, South Carolina",Manning,78,295,,4,5.8,9,South Carolina,Phillip Dukes,2011
wr,"Brownwood, Texas",Brownwood,78,170,4.6,4,5.9,9,Texas,Jaxon Shipley,2011
db,"Vista, California",Vista,65,170,4.5,4,5.8,9,California,Stefan McClure,2011
lb,"Gardena, California",Junipero Serra,78,212,4.6,4,5.8,9,California,Jason Gibson,2011
de,"Gastonia, North Carolina",Ashbrook,78,200,4.6,4,5.8,9,North Carolina,Norkeithus Otis,2011
de,"Portland, Oregon",Central Catholic,78,255,5.0,4,5.8,9,California,Brennan Scarlett,2011
te,"Andover, Massachusetts",Andover,78,215,4.7,4,5.8,9,Boston College,Brian Miller,2011
k,"Fort Lauderdale, Florida",St. Thomas Aquinas,78,190,,2,5.4,9,Illinois,Justin DuVernois,2011
ol,"Owings Mills, Maryland",Owings Mills,78,270,5.1,4,5.8,9,Penn State,Donovan Smith,2011
ol,"Norcross, Georgia",Wesleyan,78,275,,3,5.7,9,Georgia,David Andrews,2011
ath,"Edwardsville, Illinois",Edwardsville,78,230,4.5,4,5.8,9,Iowa,Rodney Coe,2011
ol,"Chico, California",Pleasant Valley,78,275,,4,5.8,9,California,Jordan Rigsbee,2011
db,"Sacramento, California",Grant,78,195,,4,5.8,9,Washington,James Sample,2011
rb,"Monticello, Florida",Jefferson County,65,175,4.5,3,5.7,9,Iowa State,DeVondrick Nealy,2011
rb,"Patterson, Louisiana",Patterson,78,218,,4,5.9,9,LSU,Kenny Hilliard,2011
qb,"Chester, South Carolina",Chester,78,190,4.7,3,5.7,9,Clemson,Tony McNeal,2011
db,"Owings Mills, Maryland",Good Counsel,65,171,4.5,4,5.8,10,Michigan,Blake Countess,2011
qb,"Glendora, California",Glendora,78,195,,3,5.7,10,San Diego State,Chad Jeffries,2011
lb,"Bennettsville, South Carolina",Marlboro County,78,197,4.6,4,5.8,10,Clemson,Lateek Townsend,2011
de,"Fort Pierce, Florida",Fort Pierce Central,78,255,4.7,4,5.8,10,Florida State,Giorgio Newberry,2011
dt,"Auburn, Washington",Auburn,78,300,,4,5.8,10,Washington,Danny Shelton,2011
ath,"Baltimore, Maryland",Gilman School,78,180,4.4,4,5.8,10,Virginia,Darius Jennings,2011
lb,"Baldwin, Wisconsin",Baldwin-Woodville,78,215,,4,5.8,10,Wisconsin,Jake Keefer,2011
qb,"Hollywood, Florida",Chaminade Madonna,78,189,,4,5.8,10,LSU,Jerrard Randall,2011
te,"Fort Meade, Florida",Fort Meade,78,247,4.8,4,5.8,10,Auburn,Brandon Fulse,2011
db,"Miami, Florida",Monsignor Pace,65,170,,4,5.8,10,Florida,Jabari Gorman,2011
ol,"Scottsdale, Arizona",Chaparral,78,258,,4,5.8,10,Oregon,Andre Yruretagoyena,2011
ol,"Glen Ellyn, Illinois",Glenbard West,78,275,5.2,4,5.8,10,Iowa,Jordan Walsh,2011
de,"Cleveland, Ohio",Glenville Academic Campus,78,249,5.2,4,5.8,10,Toledo,Andre Sturdivant,2011
rb,"Charlotte, North Carolina",Ardrey Kell,65,183,4.4,3,5.7,10,Maryland,Justus Pickett,2011
wr,"Prichard, Alabama",Vigor,78,177,4.5,4,5.9,10,Alabama,Marvin Shinn,2011
k,"Florence, South Carolina",West Florence,78,185,,2,5.4,10,Boston College,Alex Howell,2011
ol,"La Mirada, California",La Mirada,78,299,5.0,3,5.7,10,Alabama,Isaac Luatua,2011
rb,"Miami, Florida",Miami Central,65,180,,4,5.8,10,Florida State,Devonta Freeman,2011
qb,"Louisville, Kentucky",Seneca,78,180,4.5,4,5.8,11,UCF,DaMarcus Smith,2011
dt,"San Antonio, Texas",Sam Houston,78,289,,4,5.8,11,Texas,Quincy Russell,2011
rb,"Fresno, California",Central East,65,180,4.4,4,5.8,11,California,Brendan Bigelow,2011
wr,"Roebuck, South Carolina",Dorman,78,200,4.4,4,5.9,11,Clemson,Charone Peake,2011
lb,"Cedar Park, Texas",Cedar Park,78,219,,4,5.8,11,Texas,Chet Moss,2011
de,"Elyria, Ohio",Elyria,78,265,4.9,4,5.8,11,Ohio State,Chase Farris,2011
rb,"Jacksonville, Florida",First Coast,65,210,,3,5.7,11,Florida State,Eric Beverly,2011
lb,"Powder Springs, Georgia",Hillgrove,78,226,4.7,4,5.8,11,Georgia Tech,Jabari Hunt-Days,2011
te,"El Paso, Texas",El Dorado,78,236,,4,5.8,11,Texas,M.J. McFarland,2011
qb,"Ramsey, New Jersey",Don Bosco Prep,78,210,4.7,3,5.7,11,Rutgers,Gary Nova,2011
de,"Miami, Florida",Columbus,78,220,,3,5.7,11,Notre Dame,Anthony Rabasa,2011
ath,"Manassas, Virginia",Osbourn,65,175,4.4,4,5.8,11,Virginia,Dominique Terrell,2011
db,"Pensacola, Florida",Pine Forest,78,170,4.4,4,5.8,11,Florida,Louchiez Purifoy,2011
ol,"American Fork, Utah",American Fork,78,277,5.0,4,5.8,11,Brigham Young,Ryker Mathews,2011
ol,"Baton Rouge, Louisiana",Capitol,78,280,,4,5.8,11,LSU,Corey White,2011
ol,"Mauldin, South Carolina",Mauldin,78,274,5.1,3,5.6,11,Clemson,Ryan Norton,2011
db,"McDonough, Georgia",Eagle's Landing Christian,65,184,4.5,4,5.8,11,California,Avery Walls,2011
k,"Oakfield, New York",Oakfield Alabama Central,78,190,,2,5.4,11,Syracuse,Jonathan Fisher,2011
rb,"Salisbury, North Carolina",Salisbury,65,175,4.4,3,5.6,12,North Carolina,Romar Morris,2011
de,"Lakewood, California",Lakewood,78,265,4.8,4,5.8,12,California,Todd Barr,2011
rb,"Norco, California",Norco,65,192,4.4,4,5.8,12,Stanford,Kelsey Young,2011
lb,"Tampa, Florida",Jefferson,78,218,,4,5.8,12,Georgia,Ramik Wilson,2011
db,"Reserve, Louisiana",East St. John,78,180,4.4,4,5.8,12,Texas A&M,Floyd Raven,2011
de,"Homestead, Florida",Homestead,78,210,,3,5.7,12,Miami (FL),Ricardo Williams,2011
ath,"San Antonio, Texas",John Paul Stevens,78,182,4.4,4,5.8,12,Texas,Mykkele Thompson,2011
te,"Klein, Texas",Klein Oak,78,240,4.5,4,5.8,12,Oklahoma,Max Stevenson,2011
ol,"Springfield, Illinois",Sacred Heart Griffin,78,287,5.5,4,5.8,12,Nebraska,Ryan Klachko,2011
wr,"Saginaw, Michigan",Saginaw,78,167,,4,5.9,12,Tennessee,DeAnthony Arnett,2011
lb,"West Palm Beach, Florida",Dwyer,78,195,,4,5.8,12,Tennessee,Curt Maggitt,2011
db,"Jersey City, New Jersey",St. Peter's Prep,78,185,,4,5.8,12,South Carolina,Sheldon Royster,2011
qb,"Honolulu, Hawaii",St. Louis,78,185,4.7,3,5.7,12,Oregon,Marcus Mariota,2011
dt,"Cibolo, Texas",Steele,78,280,,4,5.8,12,Oklahoma,Marquis Anderson,2011
ol,"Springdale, Arkansas",Har-Ber,78,314,5.2,4,5.8,12,Arkansas,Brey Cook,2011
qb,"Cleveland, Ohio",Glenville Academic Campus,78,217,4.9,3,5.7,12,Ohio State,Cardale Jones,2011
ol,"Stone Mountain, Georgia",Stephenson,78,294,,3,5.6,12,UCF,Tarik Cook,2011
k,"Orange, California",Servite,65,182,,2,5.4,12,Pennsylvania,Connor Loftus,2011
ath,"Atco, New Jersey",Winslow Township,0,191,4.6,4,5.8,13,Penn State,Bill Belton,2011
ol,"Dover, Delaware",Dover,78,302,5.4,4,5.8,13,Florida,Trip Thurman,2011
wr,"Sammamish, Washington",Skyline,78,197,4.6,4,5.8,13,Washington,Kasen Williams,2011
db,"Mansfield, Texas",Legacy,78,175,4.4,4,5.8,13,Arkansas,Tevin Mitchel,2011
qb,"Cuyahoga Falls, Ohio",Walsh Jesuit,78,197,4.8,3,5.7,13,Michigan State,Connor Cook,2011
k,"West Hills, California",Chaminade,78,165,,2,5.4,13,Miami (FL),Matt Goudis,2011
te,"Westerville, Ohio",Westerville Central,78,230,,4,5.8,13,Ohio State,Nick Vannett,2011
dt,"Columbus, Georgia",Carver,78,273,,4,5.8,13,Auburn,Gabe Wright,2011
lb,"College Park, Georgia",North Clayton,78,224,4.7,4,5.8,13,Georgia,Amarlo Herrera,2011
ol,"Jackson, Mississippi",Callaway,78,310,,4,5.8,13,Mississippi,Aaron Morris,2011
de,"Pensacola, Florida",Catholic,78,255,,4,5.8,13,Alabama,D.J. Pettway,2011
lb,"Denver, Colorado",Mullen,78,240,4.6,4,5.8,13,UCF,Leilon Willingham,2011
rb,"Oro Valley, Arizona",Canyon Del Oro,65,180,,4,5.8,13,Arizona,Ka'Deem Carey,2011
ol,"Deland, Florida",Deland,78,290,,3,5.6,13,Florida State,Trey Pettis,2011
db,"Monroeville, Pennsylvania",Gateway,78,180,4.5,4,5.8,13,Illinois,Dondi Kirby,2011
de,"Pearland, Texas",Pearland,78,203,,3,5.7,13,Boise State,Samuel Ukwuachu,2011
rb,"Trotwood, Ohio",Trotwood-Madison,65,175,4.4,3,5.6,13,Toledo,Antwan Gilbert,2011
qb,"Austin, Texas",Lake Travis,78,175,4.7,3,5.7,13,Texas Tech,Michael Brewer,2011
qb,"Kerrville, Texas",Tivy,78,193,4.5,3,5.7,14,Texas A&M,Johnny Manziel,2011
de,"Cleveland, Texas",Cleveland,78,240,4.8,4,5.8,14,Texas,Cedric Reed,2011
ol,"Hallsville, Texas",Hallsville,78,278,,4,5.8,14,Texas,Josh Cochran,2011
rb,"Lake Worth, Florida",Park Vista,65,190,4.5,4,5.8,14,Auburn,Tre Mason,2011
ath,"Detroit, Michigan",Highland Park,65,167,,4,5.8,14,Michigan,Raymon Taylor,2011
wr,"Port Sulphur, Louisiana",South Plaquemines,65,175,4.4,4,5.8,14,Alabama,Bradley Sylve,2011
de,"Ponte Vedra, Florida",Nease,78,225,,3,5.7,14,Virginia Tech,Matt Roth,2011
k,"Argyle, Texas",Argyle,78,163,,2,5.4,14,Wake Forest,Chad Hedlund,2011
dt,"Paramus, New Jersey",Paramus Catholic,78,265,,4,5.8,14,Rutgers,Marquise Wright,2011
te,"Hurst, Texas",L. D. Bell,78,245,4.5,4,5.8,14,Michigan,Chris Barnett,2011
db,"Oklahoma City, Oklahoma",Millwood,78,175,4.5,4,5.8,14,Texas,Josh Turner,2011
rb,"Chester, South Carolina",Chester,65,185,,3,5.6,14,South Carolina State,Julius Pendergrass,2011
ol,"New Orleans, Louisiana",St. Augustine,78,340,5.1,4,5.8,14,LSU,Trai Turner,2011
db,"Daytona Beach, Florida",Mainland,78,200,,4,5.8,14,Clemson,Cortez Davis,2011
lb,"Coshocton, Ohio",Coshocton,78,218,4.8,4,5.8,14,Indiana,Zack Shaw,2011
qb,"Woodland Hills, California",Taft,78,205,,3,5.7,14,Arizona State,Michael Bercovici,2011
ol,"Bristol, Tennessee",Tennessee,78,270,5.2,3,5.6,14,Tennessee,Mack Crowder,2011
lb,"Plantation, Florida",Plantation,78,205,4.6,4,5.8,14,Ohio State,Ryan Shazier,2011
wr,"Durham, North Carolina",Jordan,78,180,4.4,4,5.8,15,North Carolina,T.J. Thorpe,2011
ol,"Klein, Texas",Klein Collins,78,300,4.9,4,5.8,15,Texas,Garrett Greenlea,2011
db,"Brockton, Massachusetts",Brockton,78,172,,4,5.8,15,Boston College,Albert Louis-Jean,2011
ath,"Rochelle, Georgia",Wilcox County,78,185,,4,5.8,15,Georgia,Nick Marshall,2011
de,"Willingboro, New Jersey",Willingboro,78,235,4.6,3,5.7,15,Rutgers,Kyle George,2011
db,"Pickerington, Ohio",Pickerington Central,78,175,4.5,4,5.8,15,Notre Dame,Eilar Hardy,2011
lb,"Klein, Texas",Klein Collins,78,212,4.6,4,5.8,15,Nebraska,David Santos,2011
rb,"Harrisburg, Pennsylvania",Bishop McDevitt,65,195,,4,5.8,15,Cincinnati,Jameel Poteat,2011
te,"Columbus, Ohio",Walnut Ridge,78,210,4.7,4,5.8,15,Wisconsin,Austin Traylor,2011
rb,"Tatum, Texas",Tatum,65,185,4.4,3,5.6,15,Baylor,B.J. Allen,2011
de,"Spokane, Washington",Gonzaga Prep,78,240,,4,5.8,15,Stanford,Charlie Hopkins,2011
