position,location,school,height,weight,fourty,stars,rating,rank,institution,name,year
de,"Rock Hill, South Carolina",South Pointe,78,247,4.6,5,6.1,1,South Carolina,Jadeveon Clowney,2011
qb,"Huber Heights, Ohio",Wayne,78,185,4.5,4,6.0,1,Ohio State,Braxton Miller,2011
ath,"Los Angeles, California",Crenshaw,0,160,4.4,5,6.1,1,Oregon,De'Anthony Thomas,2011
ol,"Hyattsville, Maryland",DeMatha,78,322,5.0,5,6.1,1,Alabama,Cyrus Kouandjio,2011
lb,"St Augustine, Florida",Menendez,78,225,,5,6.1,1,Clemson,Tony Steward,2011
te,"West Palm Beach, Florida",Dwyer,78,235,,4,6.0,1,Florida State,Nick O'Leary,2011
rb,"Cibolo, Texas",Steele,78,220,,5,6.1,1,Texas,Malcolm Brown,2011
db,"Orlando, Florida",Dr. Phillips,78,190,,5,6.1,1,Alabama,Hasean Clinton-Dix,2011
rb,"Wesley Chapel, Florida",Wesley Chapel,78,245,4.6,3,5.7,1,Florida,Hunter Joyer,2011
wr,"Gardena, California",Junipero Serra,78,192,4.4,5,6.1,1,USC,George Farmer,2011
lb,"Richmond, Virginia",Hermitage,78,222,4.5,5,6.1,1,Ohio State,Curtis Grant,2011
db,"Valdosta, Georgia",Valdosta,78,187,4.4,4,6.0,1,Georgia,Malcolm Mitchell,2011
de,"Thomasville, Georgia",Thomas County Central,78,243,,5,6.1,1,Georgia,Ray Drew,2011
ol,"Cleveland, Ohio",Glenville Academic Campus,78,355,,4,5.9,1,USC,Aundrey Walker,2011
ol,"Spanish Fort, Alabama",Spanish Fort,78,287,,4,5.9,1,Auburn,Reese Dismukes,2011
rb,"Orlando, Florida",Dr. Phillips,65,190,4.4,5,6.1,1,Alabama,Demetrius Hart,2011
k,"Reading, Pennsylvania",Exeter Township Senior,65,165,,3,5.5,1,Texas A&M,Taylor Bertolet,2011
qb,"Oviedo, Florida",Hagerty,78,225,4.5,4,6.0,1,Florida,Jeff Driskel,2011
dt,"New Orleans, Louisiana",O. Perry Walker,78,298,5.3,5,6.1,1,LSU,Anthony Johnson,2011
de,"Brooklyn, New York",Abraham Lincoln,78,230,4.7,5,6.1,2,Notre Dame,Ishaq Williams,2011
ol,"Baton Rouge, Louisiana",Redemptorist,78,285,5.5,5,6.1,2,LSU,La'El Collins,2011
qb,"Chandler, Arizona",Chandler,78,210,,4,5.9,2,UCLA,Brett Hundley,2011
rb,"Cincinnati, Ohio",Colerain,78,230,4.6,3,5.5,2,Kent State,Trayion Durham,2011
qb,"Bakersfield, California",Centennial,78,208,4.9,4,5.9,2,USC,Cody Kessler,2011
db,"Ft. Lauderdale, Florida",St. Thomas Aquinas,78,170,,4,6.0,2,Florida,Marcus Roberson,2011
lb,"Philadelphia, Mississippi",Philadelphia,78,235,4.6,5,6.1,2,Mississippi,C.J. Johnson,2011
lb,"Matthews, North Carolina",Butler,78,210,4.6,5,6.1,2,Auburn,Kris Frost,2011
de,"Monroe, Georgia",Monroe Area,78,260,,5,6.1,2,Notre Dame,Stephon Tuitt,2011
rb,"Abilene, Texas",Abilene,65,190,4.4,4,5.9,2,Oklahoma State,Herschel Sims,2011
db,"Davenport, Florida",Ridge,78,210,4.5,5,6.1,2,Florida State,Karlos Williams,2011
ol,"Thibodaux, Louisiana",Thibodaux,78,296,,4,5.8,2,Auburn,Greg Robinson,2011
rb,"Tampa, Florida",Plant,78,219,,5,6.1,2,Florida State,James Wilder Jr.,2011
dt,"Lake City, Florida",Columbia,78,275,,4,6.0,2,Florida State,Timmy Jernigan,2011
te,"Gig Harbor, Washington",Gig Harbor,78,250,4.7,4,6.0,2,Washington,Austin Seferian-Jenkins,2011
ath,"Hillsboro, Oregon",Hillsboro,78,225,4.6,5,6.1,2,Oregon,Colt Lyerla,2011
ol,"Gilbert, Arizona",Perry,78,306,5.4,4,5.8,2,Arizona State,Mo Latu,2011
wr,"Whitehouse, Texas",Whitehouse,78,198,4.4,5,6.1,2,Oklahoma,Trey Metoyer,2011
k,"Bakersfield, California",Stockdale,65,185,,3,5.5,2,USC,Andre Heidari,2011
lb,"Wadesboro, North Carolina",Anson,78,220,4.5,5,6.1,3,Clemson,Stephone Anthony,2011
wr,"Fort Myers, Florida",South Fort Myers,78,180,4.5,5,6.1,3,Clemson,Sammy Watkins,2011
rb,"Grand Blanc, Michigan",Grand Blanc,65,175,4.4,4,5.9,3,Michigan,Justice Hayes,2011
qb,"Santa Ana, California",Mater Dei,78,215,,4,5.9,3,USC,Max Wittek,2011
ath,"Gardena, California",Junipero Serra,78,187,,4,6.0,3,USC,Marqise Lee,2011
qb,"West Palm Beach, Florida",Dwyer,78,225,4.5,4,5.9,3,Florida,Jacoby Brissett,2011
lb,"Danville, Kentucky",Boyle County,78,230,4.6,4,5.9,3,USC,Lamar Dawson,2011
de,"Tampa, Florida",Alonso,78,226,4.8,4,5.9,3,Miami (FL),Anthony Chickillo,2011
ol,"Palatine, Illinois",Fremd,78,278,,4,5.8,3,Ohio State,Brian Bobek,2011
dt,"Centerville, Ohio",Centerville,78,275,5.0,4,6.0,3,Ohio State,Michael Bennett,2011
db,"Atlanta, Georgia",Grady,78,175,4.5,4,5.9,3,Georgia,Damian Swann,2011
te,"San Antonio, Texas",Macarthur,78,237,4.5,4,5.9,3,Texas Tech,Jace Amaro,2011
db,"Valley, Alabama",Valley,78,181,4.5,4,5.9,3,Auburn,Erique Florence,2011
ol,"Chandler, Arizona",Hamilton,78,288,5.0,4,6.0,3,Auburn,Christian Westerman,2011
rb,"Brookshire, Texas",Royal,78,188,4.4,5,6.1,3,Oklahoma,Brandon Williams,2011
k,"Brownsburg, Indiana",Brownsburg,78,175,,3,5.5,3,Florida,Kyle Christy,2011
de,"Cape Coral, Florida",Island Coast,78,245,4.7,4,6.0,3,Notre Dame,Aaron Lynch,2011
ol,"Harrisonburg, Virginia",Harrisonburg,78,311,,4,5.8,3,North Carolina,Landon Turner,2011
ol,"Charleston, South Carolina",Goose Creek,78,290,,4,5.9,4,South Carolina,Brandon Shell,2011
lb,"Daingerfield, Texas",Daingerfield,78,245,,4,6.0,4,Texas,Steve Edmond,2011
rb,"Sunnyvale, California",Kings Academy,65,181,4.4,4,5.8,4,USC,Amir Carlisle,2011
dt,"Towanda, Kansas",Circle,78,290,4.8,4,5.9,4,Oklahoma,Jordan Phillips,2011
wr,"Lutcher, Louisiana",Lutcher,65,178,,5,6.1,4,LSU,Jarvis Landry,2011
db,"Angleton, Texas",Angleton,65,188,4.4,4,5.9,4,Texas,Quandre Diggs,2011
te,"Valdosta, Georgia",Valdosta,78,255,,4,5.9,4,Georgia,Jay Rome,2011
rb,"Columbus, Georgia",Carver,65,210,,5,6.1,4,Georgia,Isaiah Crowell,2011
ol,"Crete, Nebraska",Crete,78,300,5.0,4,5.8,4,Nebraska,Ryne Reeves,2011
rb,"Hoschton, Georgia",Mill Creek,78,240,4.7,3,5.5,4,Maryland,Tyler Cierski,2011
ol,"Scottsdale, Arizona",Saguaro,78,285,,4,5.8,4,USC,Cyrus Hobbi,2011
de,"Asheville, North Carolina",Asheville,78,272,4.6,4,6.0,4,Alabama,Jeoffrey Pagan,2011
de,"Griffin, Georgia",Griffin,78,238,4.8,4,5.9,4,Alabama,Xzavier Dickson,2011
ath,"Waxahachie, Texas",Waxahachie,78,190,4.4,4,5.9,4,TCU,LaDarius Brown,2011
lb,"Tucker, Georgia",Tucker,78,233,4.6,4,5.9,4,Stanford,James Vaughters,2011
k,"Lake Charles, Louisiana",St. Louis,78,180,,2,5.4,4,USC,Kris Albarado,2011
db,"Miami, Florida",Southridge,78,180,,4,5.8,4,Louisville,Gerod Holliman,2011
qb,"Denton, Texas",Guyer,78,190,4.4,4,5.9,4,Oklahoma State,J.W. Walsh,2011
qb,"Matthews, North Carolina",Butler,78,200,4.6,4,5.9,4,Georgia,Christian LeMay,2011
rb,"Punta Gorda, Florida",Charlotte,65,185,4.4,5,6.1,5,Clemson,Mike Bellamy,2011
ol,"Galena Park, Texas",North Shore,78,280,5.0,4,5.8,5,Texas,Sedrick Flowers,2011
wr,"Fontana, California",Summit,78,175,4.4,4,6.0,5,Oregon,Devon Blackmon,2011
de,"Beverly Hills, California",Beverly Hills,78,242,,4,5.9,5,USC,Greg Townsend Jr.,2011
qb,"Fayetteville, Arkansas",Fayetteville,78,214,4.7,4,5.8,5,Arkansas,Brandon Allen,2011
dt,"McKeesport, Pennsylvania",McKeesport,78,265,,4,5.9,5,Texas Tech,Delvon Simmons,2011
rb,"Lagrange, Georgia",Troup,65,178,4.5,4,5.8,5,Auburn,Quan Bray,2011
qb,"Springdale, Arkansas",Shiloh Christian,78,212,4.6,4,5.9,5,Auburn,Kiehl Frazier,2011
lb,"Russellville, Alabama",Russellville,78,210,4.6,4,6.0,5,Alabama,Brent Calloway,2011
lb,"Detroit, Michigan",Renaissance,78,232,4.6,4,5.9,5,Michigan State,Lawrence Thomas,2011
db,"Griffin, Georgia",Griffin,78,195,4.6,4,5.8,5,Georgia,Corey Moore,2011
ol,"Arlington, Texas",Sam Houston,78,300,5.3,4,5.8,5,Texas Tech,Tony Morales,2011
ath,"Cedar Rapids, Iowa",Kennedy,78,229,4.4,4,5.9,5,Oregon,Christian French,2011
db,"Virginia Beach, Virginia",Bayside,65,167,4.4,4,5.8,5,Virginia,Demetrious Nicholson,2011
k,"Grapevine, Texas",Grapevine,65,155,,2,5.4,5,Kansas,Alex Mueller,2011
de,"Asheville, North Carolina",A. C. Reynolds,78,225,,4,5.8,5,Notre Dame,Ben Councell,2011
te,"Jacksonville, Florida",University Christian School,78,232,4.9,4,5.9,5,Florida,A.C. Leonard,2011
ol,"Clearwater, Florida",Countryside,78,295,,4,5.9,5,Nebraska,Tyler Moore,2011
rb,"Kannapolis, North Carolina",Brown,78,210,4.5,3,5.5,5,North Carolina,Travis Riley,2011
ath,"Gardner, Kansas",Gardner Edgerton,78,193,4.5,4,5.8,6,Nebraska,Bubba Starling,2011
qb,"Belton, Texas",Belton,78,195,4.6,3,5.7,6,Texas,David Ash,2011
rb,"Jacksonville, Florida",Trinity Christian,65,188,4.5,4,5.8,6,West Virginia,Andrew Buie,2011
lb,"Dallas, Texas",Skyline,78,220,4.6,4,5.8,6,Oregon,Anthony Wallace,2011
lb,"Mission Viejo, California",Mission Viejo,78,215,,4,5.9,6,USC,Tre Madden,2011
dt,"San Diego, California",Point Loma,78,269,,4,5.8,6,USC,Christian Heyward,2011
wr,"New Orleans, Louisiana",Isidore Newman School,65,165,,4,5.9,6,LSU,Odell Beckham Jr.,2011
de,"Philadelphia, Pennsylvania",Northeast,78,220,,4,5.8,6,Penn State,Deion Barnes,2011
de,"West Branch, Michigan",Ogemaw Heights,78,254,,4,5.9,6,Penn State,Anthony Zettel,2011
ol,"Milford, Pennsylvania",Delaware Valley,78,255,,4,5.8,6,Michigan State,Brandon Clemons,2011
db,"Ft. Lauderdale, Florida",Dillard,78,190,4.6,4,5.8,6,Stanford,Wayne Lyons,2011
te,"Fayetteville, North Carolina",Jack Britt,78,245,,4,5.9,6,Clemson,Eric MacLain,2011
rb,"Bradenton, Florida",Manatee,65,194,,4,6.0,6,Florida,Mike Blakely,2011
ol,"West Chester, Ohio",Lakota West,78,270,5.0,3,5.7,6,Alabama,Ryan Kelly,2011
ol,"Aztec, New Mexico",Aztec,78,265,5.0,4,5.9,6,Notre Dame,Matthew Hegarty,2011
k,"Wilmington, North Carolina",Hoggard,78,185,,2,5.4,6,North Carolina State,Wil Baumann,2011
db,"Klein, Texas",Klein Collins,65,180,4.4,4,5.8,6,Nebraska,Charles Jackson,2011
qb,"Miami, Florida",Northwestern,78,185,4.6,4,5.8,6,Louisville,Teddy Bridgewater,2011
dt,"Houston, Texas",Westfield,78,278,5.0,4,5.8,7,Texas,Desmond Jackson,2011
qb,"San Jose, California",Archbishop Mitty,78,205,4.9,3,5.7,7,California,Kyle Boehm,2011
rb,"Jersey City, New Jersey",St. Peter's Prep,78,190,,4,5.9,7,Rutgers,Savon Huggins,2011
de,"Canton, Ohio",McKinley,78,230,4.8,4,5.8,7,Ohio State,Steve Miller,2011
de,"Toledo, Ohio",Whitmer,78,240,,4,5.9,7,Ohio State,Kenny Hayes,2011
db,"Akron, Ohio",St. Vincent-St. Mary,65,171,4.6,4,6.0,7,Ohio State,Doran Grant,2011
ath,"Livermore, California",Granada,78,194,4.4,4,5.8,7,Notre Dame,George Atkinson III,2011
lb,"Carthage, Texas",Carthage,78,232,4.7,4,5.8,7,Texas,Kendall Thompson,2011
db,"Leeds, Alabama",Leeds,78,170,4.5,4,5.8,7,Auburn,Jonathan Rose,2011
ol,"Williamsburg, Iowa",Williamsburg,78,280,5.2,4,5.8,7,Iowa,Austin Blythe,2011
wr,"Batesville, Mississippi",South Panola,78,175,,4,5.9,7,Mississippi,Nickolas Brassell,2011
ol,"Navarre, Florida",Navarre,78,283,,3,5.7,7,Florida State,Sterling Lovelady,2011
ol,"Nashville, Tennessee",Pearl-Cohn,78,310,5.1,4,5.9,7,Tennessee,Antonio Richardson,2011
te,"Oil City, Pennsylvania",Oil City Senior,78,230,4.6,4,5.9,7,Notre Dame,Ben Koyack,2011
k,"Alpharetta, Georgia",Chattahoochee,65,175,,2,5.4,7,Clemson,Ammon Lakip,2011
lb,"Springfield, Ohio",Springfield,78,231,4.6,4,5.8,7,Alabama,Trey DePriest,2011
qb,"Arlington, Texas",Sam Houston,78,175,4.5,4,5.8,7,Nebraska,Jamal Turner,2011
db,"East St. Louis, Illinois",East St. Louis,78,194,,4,5.8,8,Kentucky,Glenn Faulkner,2011
dt,"Sacramento, California",Grant,78,326,,4,5.8,8,California,Viliami Moala,2011
ol,"Pikeville, North Carolina",Charles B Aycock,78,276,5.0,4,5.8,8,North Carolina,Jarrod James,2011
rb,"Las Vegas, Nevada",Palo Verde,65,173,4.4,3,5.7,8,San Diego State,Brandon Wright,2011
lb,"Gainesville, Georgia",Gainesville,78,226,4.7,4,5.8,8,Tennessee,A.J. Johnson,2011
rb,"San Antonio, Texas",James Madison,65,191,4.4,4,5.9,8,Nebraska,Aaron Green,2011
de,"Gainesville, Georgia",East Hall,78,260,4.7,4,5.8,8,Georgia,Sterling Bailey,2011
wr,"Belle Glade, Florida",Glades Central,78,210,,4,5.9,8,Florida State,Kelvin Benjamin,2011
ol,"Fort Lauderdale, Florida",St. Thomas Aquinas,78,283,6.0,4,5.9,8,Florida State,Bobby Hart,2011
