position,location,school,height,weight,fourty,stars,rating,rank,institution,name,year
de,"North Charleston, South Carolina",Fort Dorchester,78,260,4.6,5,6.1,1,Florida,Carlos Dunlap,2007
dt,"Washington, District of Columbia",Ballou,78,291,4.7,5,6.1,1,North Carolina,Marvin Austin,2007
qb,"Westlake Village, California",Oaks Christian,78,200,4.7,5,6.1,1,Notre Dame,Jimmy Clausen,2007
qb,"Hampton, Virginia",Hampton,78,200,4.6,5,6.1,1,Virginia Tech,Tyrod Taylor,2007
rb,"North Fort Myers, Florida",North Fort Myers,65,175,4.4,5,6.1,1,West Virginia,Noel Devine,2007
ath,"Baton Rouge, Louisiana",Southern Lab,78,220,4.6,5,6.1,1,LSU,Chad Jones,2007
rb,"Waller, Texas",Waller,65,225,,4,5.9,1,Texas,Cody Johnson,2007
lb,"Anaheim, California",Servite,78,235,4.6,5,6.1,1,USC,Chris Galippo,2007
de,"Avondale, Arizona",Agua Fria,78,266,4.6,5,6.1,1,USC,Everson Griffen,2007
rb,"River Ridge, Louisiana",John Curtis,78,193,4.4,5,6.1,1,USC,Joe McKnight,2007
db,"Fairburn, Georgia",Creekside,65,194,4.3,5,6.1,1,Tennessee,Eric Berry,2007
lb,"Huntingdon, Tennessee",Huntingdon,78,220,4.6,5,6.1,1,Tennessee,Chris Donald,2007
ol,"Milwaukee, Wisconsin",St. Frances,78,315,,5,6.1,1,Wisconsin,Josh Oglesby,2007
db,"Indianapolis, Indiana",Warren Central,78,203,4.5,4,6.0,1,Florida,Jerimy Finch,2007
ol,"Ponte Vedra, Florida",Nease,78,308,4.9,5,6.1,1,Florida,James Wilson,2007
wr,"Muskegon, Michigan",Muskegon,78,177,4.4,5,6.1,1,USC,Ronald Johnson,2007
k,"San Diego, California",Torrey Pines,78,191,5.0,3,5.5,1,Boston College,Billy Bennett,2007
ol,"Waxahachie, Texas",Waxahachie,78,277,5.5,4,5.9,1,Oklahoma,Jason Hannan,2007
te,"Columbia, Missouri",Rock Bridge,78,213,4.6,4,6.0,1,Georgia,Aron White,2007
dt,"Seffner, Florida",Armwood,78,290,,5,6.1,2,Florida,Torrey Davis,2007
wr,"Hempstead, Texas",Hempstead,78,185,4.5,5,6.1,2,LSU,Terrance Toliver,2007
lb,"Bushnell, Florida",South Sumter,78,207,4.5,4,6.0,2,Florida State,Kendall Smith,2007
k,"Fort Lauderdale, Florida",St. Thomas Aquinas,78,195,4.7,3,5.5,2,Auburn,Wes Byrum,2007
rb,"Hialeah, Florida",Miami Lakes,65,181,4.3,4,6.0,2,Notre Dame,Armando Allen,2007
de,"Cincinnati, Ohio",La Salle,78,230,4.5,5,6.1,2,Tennessee,Ben Martin,2007
ol,"Grand Prairie, Texas",South Grand Prairie,78,305,5.3,5,6.1,2,Texas,Tray Allen,2007
rb,"Westlake Village, California",Oaks Christian,78,215,4.5,5,6.1,2,USC,Marc Tyler,2007
qb,"Atlanta, Georgia",Westlake,78,232,4.5,5,6.1,2,Florida,Cameron Newton,2007
lb,"Decatur, Alabama",Decatur,78,240,4.6,4,6.0,2,Alabama,Rolando McClain,2007
te,"Bristol, Connecticut",Bristol Central,78,235,4.5,4,6.0,2,Florida,Aaron Hernandez,2007
rb,"La Porte, Texas",La Porte,78,234,4.6,4,5.8,2,Nebraska,Quentin Castille,2007
ath,"Mansfield, Texas",Mansfield Summit,78,195,4.4,4,6.0,2,Texas,John Chiles,2007
de,"Chicago, Illinois",Simeon,78,230,4.6,5,6.1,2,Illinois,Martez Wilson,2007
db,"Fort Lauderdale, Florida",St. Thomas Aquinas,78,200,4.5,4,6.0,2,Florida,Major Wright,2007
qb,"Texarkana, Texas",Texas,78,235,4.9,5,6.1,2,Michigan,Ryan Mallett,2007
db,"Gilmer, Texas",Gilmer,78,174,4.4,5,6.1,2,Texas,Curtis Brown,2007
ol,"Littleton, Colorado",Columbine,78,278,5.5,5,6.1,2,Colorado,Ryan Miller,2007
ol,"Norcross, Georgia",Greater Atlanta Christian,78,256,5.0,4,5.8,2,LSU,T-Bob Hebert,2007
rb,"Lynn Haven, Florida",Mosley,65,212,4.4,4,6.0,3,Auburn,Enrique Davis,2007
wr,"Garner, North Carolina",Garner,78,188,4.4,5,6.1,3,South Carolina,Chris Culliver,2007
lb,"Corona, California",Norco,65,226,4.6,4,5.9,3,USC,Jordan Campbell,2007
qb,"Villa Park, California",Lutheran,78,195,4.6,4,6.0,3,USC,Aaron Corp,2007
dt,"Gardena, California",Serra,78,266,4.9,4,6.0,3,USC,Da'John Harris,2007
rb,"Los Angeles, California",Crenshaw,65,187,4.4,4,5.9,3,UCLA,Raymond Carter,2007
db,"Long Beach, California",Poly,78,175,4.4,5,6.1,3,Michigan,Donovan Warren,2007
de,"Batesville, Mississippi",South Panola,78,251,4.6,4,6.0,3,Mississippi,Chris Strong,2007
ol,"Hoover, Alabama",Hoover,78,275,5.2,4,5.8,3,Auburn,Ryan Pugh,2007
de,"Cheraw, South Carolina",Cheraw,78,223,4.7,4,6.0,3,South Carolina,Cliff Matthews,2007
ath,"Ft. Washington, Maryland",Friendly,65,189,4.5,4,6.0,3,Florida,Joe Haden,2007
db,"Des Moines, Iowa",Lincoln High School,65,200,4.4,4,6.0,3,Iowa,Jordan Bernstine,2007
qb,"Ocala, Florida",Trinity Catholic,78,190,4.6,4,6.0,3,Florida,John Brantley,2007
lb,"Enid, Oklahoma",Enid,78,215,4.6,4,6.0,3,Oklahoma,Austin Box,2007
ol,"Tucson, Arizona",Salpointe,78,315,5.2,5,6.1,3,USC,Kristofer O'Dowd,2007
k,"Concord, North Carolina",Northwest Cabarrus,78,175,,3,5.5,3,LSU,Andrew Crutchfield,2007
ol,"Tulsa, Oklahoma",Union,78,285,5.2,4,6.0,3,Notre Dame,Matt Romine,2007
te,"Cherry Hill, New Jersey",Camden Catholic,78,221,4.5,4,5.9,3,Notre Dame,Mike Ragone,2007
rb,"Chattanooga, Tennessee",Baylor School,78,240,4.7,3,5.7,3,Tennessee,Kevin Cooper,2007
rb,"Racine, Wisconsin",Park High,78,222,4.5,4,6.0,4,Wisconsin,John Clay,2007
de,"Harrisonville, Missouri",Harrisonville,78,215,4.5,4,6.0,4,Missouri,Michael Keck,2007
qb,"Tampa, Florida",Jefferson,78,202,4.7,4,5.9,4,South Carolina,Stephen Garcia,2007
de,"Mobile, Alabama",McGill Toolen,78,250,4.8,4,6.0,4,LSU,Sidell Corley,2007
lb,"Plano, Texas",Plano East,78,211,4.5,4,5.9,4,Texas,Keenan Robinson,2007
wr,"Burlington, North Carolina",Cummings,78,210,,5,6.1,4,North Carolina,Dwight Jones,2007
ol,"Rogers, Arkansas",Rogers,78,295,5.2,4,6.0,4,Auburn,Lee Ziemba,2007
rb,"Batesville, Mississippi",South Panola,78,230,4.5,3,5.7,4,Alabama,Jeramie Griffin,2007
dt,"Hoover, Alabama",Hoover,78,315,5.1,4,6.0,4,Alabama,Kerry Murphy,2007
rb,"Lakeland, Florida",Lakeland,65,159,4.4,4,5.9,4,Florida,Chris Rainey,2007
qb,"Syracuse, New York",Christian Brothers,78,220,4.9,4,5.9,4,North Carolina,Mike Paulus,2007
te,"Pittsburgh, Pennsylvania",Woodland Hills,78,232,4.8,4,5.8,4,Arizona,Rob Gronkowski,2007
k,"Camarillo, California",Camarillo,78,189,4.7,3,5.5,4,California,Bryan Anger,2007
ath,"St. Louis, Missouri",Hazelwood West,78,215,4.6,4,6.0,4,Kansas State,Lamark Brown,2007
db,"Cincinnati, Ohio",Colerain,78,190,4.5,4,6.0,4,Ohio State,Eugene Clifford,2007
lb,"Lakeville, Michigan",Brother Rice,78,209,4.6,4,5.9,4,Penn State,Chris Colasanti,2007
ol,"Kilgore, Texas",Kilgore,78,290,,4,6.0,4,Texas,Michael Huey,2007
ol,"Monticello, Arkansas","",78,285,5.2,3,5.7,4,Arkansas,Seth Oxner,2007
wr,"Washington, District of Columbia",Dunbar,78,210,4.5,5,6.1,5,Illinois,Arrelious Benn,2007
dt,"Los Angeles, California",Crenshaw,78,285,5.3,4,6.0,5,UCLA,Brian Price,2007
lb,"Houston, Texas",Cypress Falls,78,240,4.5,4,5.9,5,Texas A&M,Derrick Stephens,2007
db,"Reserve, Louisiana",East St. John,78,188,4.5,4,6.0,5,LSU,Stefoin Francois,2007
rb,"Valencia, California",Valencia High,65,170,4.5,4,5.9,5,California,Shane Vereen,2007
ol,"Piscataway, New Jersey",Piscataway,78,341,5.2,4,6.0,5,Rutgers,Anthony Davis,2007
ath,"Oklahoma City, Oklahoma",Millwood,78,185,4.5,4,5.9,5,Tennessee,Gerald Jones,2007
