position,location,school,height,weight,fourty,stars,rating,rank,institution,name,year
qb,"Springfield, Virginia",West Springfield,78,235,4.7,4,5.9,5,Virginia,Peter Lalich,2007
db,"Orchard Lake, Michigan",St. Mary's,65,175,4.4,4,6.0,5,Florida State,Dionte Allen,2007
ol,"Columbus, Georgia",Hardaway,78,302,5.1,4,6.0,5,Florida State,Antwane Greenlee,2007
qb,"Duncan, South Carolina",Byrnes,78,200,4.6,4,5.9,5,Clemson,Willy Korn,2007
rb,"Piqua, Ohio",Piqua,78,200,4.4,4,6.0,5,Ohio State,Brandon Saine,2007
k,"Dallas, Georgia",East Paulding,78,180,,3,5.5,5,Florida,Chas Henry,2007
de,"Dallas, Texas",Lincoln,78,234,4.8,4,6.0,5,Oklahoma State,Richetti Jones,2007
te,"San Diego, California",Mira Mesa,78,225,4.7,4,5.8,5,UCLA,Nate Chandler,2007
ol,"Lemont, Illinois","",78,280,5.0,3,5.7,5,Michigan,David Molk,2007
lb,"Lake City, South Carolina",Lake City,78,206,4.5,4,5.9,5,Clemson,Scotty Cooper,2007
rb,"Augusta, Georgia",Aquinas,78,235,4.7,3,5.7,5,Auburn,John Douglas,2007
de,"Brownsville, Tennessee",Haywood,78,225,4.7,4,5.9,5,Alabama,Alex Watkins,2007
de,"Richmond, Virginia",Varina,78,225,4.7,4,5.9,6,Florida State,Jamar Jackson,2007
te,"Ventura, California",St. Bonaventure,78,224,4.6,4,5.8,6,Texas,Blaine Irby,2007
ol,"La Marque, Texas",La Marque,78,290,5.2,4,5.9,6,Texas,Aundre McGaskey,2007
ath,"Gardena, California",Serra,78,185,4.4,4,5.9,6,Washington,Anthony Boyles,2007
db,"New Freedom, Pennsylvania",Susquehannock,78,184,4.4,4,5.9,6,Penn State,Chaz Powell,2007
rb,"Red Bank, New Jersey",Lawrenceville Prep,78,242,4.6,3,5.7,6,North Carolina,Devon Ramsay,2007
qb,"Lancaster, Pennsylvania",Manheim Township,78,220,4.9,4,5.9,6,Pittsburgh,Pat Bostick,2007
rb,"Tatum, Texas",Tatum,78,202,4.5,4,6.0,6,Tennessee,Lennon Creer,2007
ol,"Palos Verdes Estates, California",Peninsula,78,273,5.0,3,5.7,6,California,Todd Huber,2007
qb,"Lowell, Michigan",Lowell,78,195,4.7,4,5.9,6,Oklahoma,Keith Nichol,2007
dt,"Detroit, Michigan",Cass Tech,78,323,4.9,4,6.0,6,LSU,Joseph Barksdale,2007
wr,"Hoboken, New Jersey",Hoboken,78,209,4.6,4,6.0,6,Notre Dame,Duval Kamara,2007
lb,"Orlando, Florida",Edgewater,78,220,4.7,4,5.9,6,Florida,Lorenzo Edwards,2007
ol,"Woodstock, Illinois",Marian Central Catholic,78,270,4.8,4,6.0,6,Iowa,Bryan Bulaga,2007
de,"Coatesville, Pennsylvania",Coatesville,78,260,4.7,4,6.0,6,Georgia Tech,Derrick Morgan,2007
rb,"Pearland, Texas","",65,187,4.4,4,5.8,6,Texas,Foswhitt Whittaker,2007
k,"Mission Viejo, California",Mission Viejo,78,210,,3,5.5,6,Stanford,David Green,2007
db,"High Point, North Carolina",T.W. Andrews,65,175,4.5,4,6.0,6,Clemson,Marcus Gilchrist,2007
lb,"Baton Rouge, Louisiana",Southern Lab,78,228,4.7,4,5.8,6,Baylor,Earl Patin,2007
dt,"El Paso, Texas",Andress,78,305,5.7,4,6.0,7,Texas,Andre Jones,2007
wr,"Bastrop, Louisiana",Bastrop,78,195,4.5,4,6.0,7,LSU,DeAngelo Benton,2007
lb,"Gardena, California",Serra,78,205,4.7,4,5.9,7,Arizona,Apaiata Tuihalamaka,2007
rb,"Ontario, California",Colony,65,185,4.4,4,5.8,7,Arizona State,Omar Bolden,2007
de,"Long Beach, California",Poly,78,210,4.7,4,5.9,7,Oregon,Kenny Rowe,2007
qb,"San Diego, California",St. Augustine,78,185,4.5,4,5.9,7,UCLA,Chris Forcier,2007
ol,"Huntington Beach, California",Edison,78,290,4.8,4,6.0,7,USC,Martin Coleman,2007
ol,"Norco, California",Norco,78,299,5.2,3,5.7,7,Arizona State,Garth Gerhart,2007
ol,"Phoenix, Arizona",Moon Valley,78,311,5.8,4,5.9,7,Nebraska,Jaivorio Burkes,2007
te,"Marietta, Georgia",Walton,78,240,4.6,4,5.8,7,Auburn,Bailey Woods,2007
rb,"Chicago, Illinois",Hubbard,65,226,4.6,4,5.9,7,Notre Dame,Robert Hughes,2007
rb,"Catawissa, Pennsylvania",Southern Columbia,78,235,4.8,3,5.6,7,Pittsburgh,Henry Hynoski,2007
ath,"Hendersonville, Tennessee",Pope John Paul II,65,175,4.4,4,5.9,7,Notre Dame,Golden Tate,2007
db,"Beaumont, Texas",Ozen,78,185,4.5,4,5.9,7,Texas,Ben Wells,2007
db,"College Park, Georgia",North Clayton,78,182,4.6,4,5.9,7,Georgia Tech,Morgan Burnett,2007
de,"Darien, Georgia",Mcintosh County Academy,78,255,5.0,4,5.9,7,Miami (FL),Allen Bailey,2007
qb,"Brenham, Texas",Brenham,78,192,4.7,4,5.8,7,LSU,Jarrett Lee,2007
lb,"Culpeper, Virginia",Culpeper,78,227,4.7,4,5.8,7,Virginia,Terence Fells-Danzer,2007
k,"Hickory, North Carolina",Hickory,65,175,,3,5.5,7,Rutgers,San San Te,2007
dt,"Portland, Oregon",Central Catholic,78,322,5.1,4,6.0,8,Oregon,Myles Wade,2007
qb,"Tampa, Florida",Plant,78,189,4.7,4,5.8,8,Miami (FL),Robert Marve,2007
db,"Westlake Village, California",Oaks Christian,65,185,4.5,4,5.9,8,Oregon,Anthony Gildon,2007
ath,"Woodland Hills, California",Taft,78,200,4.4,4,5.9,8,USC,Malcolm Smith,2007
ol,"Columbia, South Carolina",Spring Valley,78,265,5.0,4,5.9,8,South Carolina,Quintin Richardson,2007
lb,"Jacksonville, Florida",Forrest,78,205,4.6,4,5.9,8,Florida,Brandon Hicks,2007
rb,"Knoxville, Tennessee",Fulton High School,65,167,4.6,3,5.7,8,Tennessee,Dennis Rogan,2007
rb,"Norcross, Georgia",Greater Atlanta Christian,65,186,4.4,4,5.9,8,Georgia,Caleb King,2007
de,"Baton Rouge, Louisiana",Southern Lab,78,248,4.7,4,5.8,8,Oklahoma,Frank Alexander,2007
ol,"Omaha, Nebraska",Central High School,78,300,5.2,3,5.7,8,Miami (FL),Harland Gunn,2007
db,"Mobile, Alabama",Davidson,78,200,4.6,4,5.9,8,Auburn,Michael McNeil,2007
qb,"Fort Smith, Arkansas",Northside Senior,78,195,4.5,4,5.9,8,Auburn,Kodi Burns,2007
de,"Laurinburg, North Carolina",Scotland County,78,230,4.6,4,5.9,8,South Carolina,Travian Robertson,2007
lb,"San Jose, California",Archbishop Mitty,78,219,4.5,4,5.8,8,UCLA,Steve Sloan,2007
wr,"Belle Glade, Florida",Glades Central,78,180,4.4,4,6.0,8,Florida,Deonte Thompson,2007
ol,"Pittsburgh, Pennsylvania",Central Catholic,78,275,5.2,4,5.9,8,Penn State,Stefen Wisniewski,2007
te,"Brooklyn, New York",Lincoln,78,226,4.6,4,5.8,8,Maryland,Lansford Watson,2007
rb,"Corona, California",Santiago,78,230,4.6,3,5.7,8,Oregon State,Ryan McCants,2007
k,"Anaheim, California",Servite,65,168,,3,5.5,8,Fresno State,Kevin Goessling,2007
db,"Columbia, South Carolina",Richland Northeast,65,163,4.5,4,5.9,9,Notre Dame,Gary Gray,2007
qb,"Adrian, Michigan","",78,225,,4,5.8,9,Georgia Tech,Steven Threet,2007
wr,"Lufkin, Texas",Lufkin,78,195,4.5,4,6.0,9,Oklahoma State,Dez Bryant,2007
ol,"Pittsburgh, Pennsylvania",Keystone Oaks,78,284,5.1,4,5.8,9,Pittsburgh,Chris Jacobson,2007
ol,"Woodland Hills, California",Taft,78,285,5.1,4,5.9,9,Oregon,Darrion Weems,2007
rb,"Richmond, California",Salesian,65,183,4.4,4,5.9,9,California,Jahvid Best,2007
de,"Villa Park, California",Lutheran,78,260,4.7,4,5.9,9,USC,Michael Reardon,2007
db,"Westlake Village, California",Oaks Christian,78,185,4.5,4,5.9,9,USC,Marshall Jones,2007
te,"Little Rock, Arkansas",Central Arkansas Christian,78,240,4.7,4,5.8,9,Arkansas,David Williams,2007
rb,"Coffeeville, Mississippi",Coffeeville,78,193,4.4,3,5.7,9,Miami (FL),Lee Chambers,2007
lb,"Lauderdale Lakes, Florida",Boyd Anderson,78,212,4.7,4,5.8,9,Auburn,Josh Bynes,2007
ol,"Birmingham, Alabama",Mountain Brook,78,287,5.1,3,5.6,9,Alabama,William Vlachos,2007
k,"Memphis, Tennessee",Ridgeway,78,165,4.5,3,5.5,9,LSU,Josh Jasper,2007
ath,"Columbia, South Carolina",Richland Northeast,78,194,4.6,4,5.9,9,South Carolina,Mark Barnes,2007
de,"Orlando, Florida",Jones,78,240,4.6,4,5.8,9,Florida,Jerry Howard,2007
lb,"Los Angeles, California",Verbum Dei,78,214,4.7,4,5.8,9,UCLA,Akeem Ayers,2007
qb,"Greensboro, Georgia",Greene County,78,204,4.6,4,5.8,9,Georgia Tech,Josh Nesbitt,2007
dt,"Marrero, Louisiana",John Ehret,78,281,4.9,4,5.9,9,LSU,Drake Nevis,2007
rb,"Saline, Michigan",Saline,78,235,4.7,3,5.5,9,Michigan,Vince Helmuth,2007
qb,"Chattanooga, Tennessee",McCallie School,78,180,,4,5.8,10,Tennessee,B.J. Coleman,2007
dt,"Lakeland, Florida",Lakeland,78,285,,4,5.9,10,Florida,John Brown,2007
ol,"Birmingham, Michigan",Brother Rice,78,295,5.2,4,5.9,10,Tennessee,Darris Sawtelle,2007
db,"Daytona Beach, Florida",Seabreeze,65,163,4.6,4,5.9,10,Ohio State,James Scott,2007
de,"Wilmington, Delaware",Howard,78,251,4.9,4,5.9,10,Penn State,Devon Still,2007
ath,"Mobile, Alabama",McGill Toolen,78,185,4.4,4,5.9,10,LSU,Phelon Jones,2007
db,"Dallas, Texas",Skyline,78,185,4.4,4,5.9,10,Texas,Christian Scott,2007
de,"Washington, District of Columbia",St. John's College High,78,225,4.7,4,5.8,10,Pittsburgh,Tony Tucker,2007
lb,"Wheaton, Maryland",Wheaton,78,229,4.7,4,5.8,10,West Virginia,Pat Lazear,2007
rb,"Louisville, Kentucky",St. Xavier,65,170,4.5,3,5.7,10,Louisville,Victor Anderson,2007
ol,"Columbia, South Carolina",Spring Valley,78,265,4.9,3,5.7,10,Clemson,Mason Cloy,2007
qb,"Columbia, Missouri",Rock Bridge,78,185,4.5,4,5.8,10,Georgia,Logan Gray,2007
ol,"Hammond, Louisiana",Hammond,78,315,5.1,4,5.8,10,Mississippi,Rishaw Johnson,2007
te,"Lawrence, Kansas",Free State,78,279,4.8,4,5.8,10,Iowa,Christian Ballard,2007
wr,"Omaha, Nebraska",North,78,210,4.4,4,6.0,10,Nebraska,Niles Paul,2007
lb,"Cleveland, Ohio",Glenville Academic Campus,78,205,4.6,4,5.8,10,Ohio State,Jermale Hines,2007
rb,"Marietta, Georgia",Kell,78,197,4.4,4,5.9,10,Georgia Tech,Jonathan Dwyer,2007
k,"Sherman Oaks, California",Notre Dame,65,185,,3,5.5,10,Washington,Erik Folk,2007
rb,"St. Louis, Missouri",Hazelwood East,78,220,4.6,3,5.5,10,Arkansas State,William Anderson,2007
rb,"Okolona, Mississippi",Okolona,78,191,4.6,4,5.9,11,Mississippi State,Robert Elliott,2007
lb,"Union City, New Jersey",Union City,78,230,4.5,4,5.8,11,Rutgers,Manny Abreu,2007
qb,"Auburn, Washington",Auburn,78,215,4.6,4,5.8,11,Stanford,Kellen Kiilsgaard,2007
qb,"Dallas, Texas",Episcopal School Of Dallas,78,221,4.8,3,5.7,11,California,Brock Mansion,2007
wr,"Garland, Texas",Garland,78,205,4.4,4,5.9,11,Texas,Malcolm Williams,2007
ath,"Oxnard, California",Rio Mesa,78,215,4.4,4,5.9,11,Oregon,Malachi Lewis,2007
ol,"San Francisco, California",St. Ignatius,78,271,5.1,4,5.9,11,California,Matt Summers-Gavin,2007
de,"Hazlehurst, Mississippi",Hazlehurst Senior,78,265,4.8,4,5.8,11,Mississippi State,Jazzmen Guy,2007
db,"Belle Glade, Florida",Glades Central,65,197,4.5,4,5.9,11,Miami (FL),Damien Berry,2007
te,"Upland, California",Upland,78,221,4.7,4,5.8,11,Brigham Young,Devin Mahina,2007
db,"Norman, Oklahoma",Norman,78,170,4.5,4,5.8,11,Oklahoma,Ryan Broyles,2007
ol,"Jeffersonville, Georgia",Twiggs County,78,342,5.0,4,5.8,11,Georgia,Chris Little,2007
lb,"Snellville, Georgia",Brookwood,65,202,4.5,4,5.8,11,Georgia,Rennie Curran,2007
de,"Statesboro, Georgia",Statesboro,78,228,4.7,4,5.8,11,Georgia,Justin Houston,2007
dt,"Bloomington, Illinois",Central Catholic,78,280,,4,5.9,11,Illinois,Josh Brent,2007
rb,"Dunnellon, Florida",Dunnellon,78,185,4.4,3,5.7,11,Arkansas,Juwan Franklin,2007
rb,"Jacksonville, Florida",Bolles,78,225,4.6,3,5.5,11,Vanderbilt,Ryan Van Rensburg,2007
ol,"Gaston, North Carolina",Northampton County,78,265,5.1,3,5.6,11,North Carolina State,Desmond Roberts,2007
k,"College Station, Texas",A&M Consolidated,65,160,,3,5.5,11,Baylor,Shea Brewster,2007
dt,"Germantown, Maryland",Seneca Valley,78,295,4.8,4,5.9,12,Tennessee,Donald Langley,2007
qb,"Spanish Fork, Utah",Spanish Fork,78,207,4.9,3,5.7,12,Utah,Griffin Robles,2007
ol,"Rosenberg, Texas",Lamar Consolidated,78,250,5.0,4,5.9,12,LSU,Jarvis Jones,2007
ath,"Orange, Texas",West Orange-Stark,65,174,4.4,4,5.9,12,Texas,Earl Thomas,2007
de,"Houston, Texas",Westbury,78,230,4.7,4,5.8,12,Texas,Russell Carter,2007
rb,"McAllen, Texas",McAllen Memorial,65,185,4.4,4,5.9,12,Texas A&M,Bradley Stephens,2007
lb,"Christchurch, Virginia",Christchurch School,78,212,4.7,4,5.8,12,Virginia,J'Courtney Williams,2007
wr,"New Kensington, Pennsylvania",Valley,78,205,4.5,4,5.9,12,Michigan,Toney Clemons,2007
ol,"Madison, Mississippi",Madison Central,78,285,5.2,4,5.8,12,Auburn,Chaz Ramsey,2007
db,"Lakewood, Ohio",St. Edward,78,199,4.9,4,5.9,12,Ohio State,Nate Oliver,2007
db,"Arlington, Texas",Seguin,65,187,4.6,4,5.8,12,Oklahoma,Jamell Fleming,2007
rb,"Houston, Texas",Spring Woods,65,175,4.4,3,5.6,12,Nebraska,Marcus Mendoza,2007
ol,"Burien, Washington",Kennedy,78,288,5.6,3,5.6,12,Washington State,Kevin Freitag,2007
rb,"Sedgwick, Kansas",Sedgwick,78,230,4.7,3,5.5,12,Kansas,Steven Foster,2007
de,"Charlotte, North Carolina",Victory Christian,78,230,4.6,4,5.8,12,Clemson,Kourtnei Brown,2007
te,"Lakeland, Florida",Lakeland,78,235,4.7,4,5.8,12,LSU,Jordon Corbin,2007
qb,"Orange, Virginia",Orange County,78,180,4.4,4,5.8,12,West Virginia,Bradley Starks,2007
k,"McCook, Nebraska","",78,170,4.8,3,5.5,12,Kansas State,Josh Cherry,2007
lb,"Sacramento, California",Grant,78,205,4.6,4,5.8,13,Oregon,Terrance Pritchett,2007
ol,"Columbus, Mississippi",Caledonia,78,298,5.2,4,5.9,13,Mississippi State,Derek Sherrod,2007
dt,"Suwanee, Georgia",Peachtree Ridge,78,264,5.2,4,5.9,13,Ohio State,Cameron Heyward,2007
wr,"Mobile, Alabama",UMS Wright,78,190,4.5,4,5.9,13,Alabama,Brandon Gibson,2007
rb,"Hanford, California",Hanford,65,195,4.5,3,5.6,13,Michigan,Avery Horn,2007
qb,"Honolulu, Hawaii",Mid Pacific Institute,78,215,4.9,3,5.7,13,Arizona,Bryson Beirne,2007
db,"Pensacola, Florida",Pensacola,78,195,4.5,4,5.8,13,Alabama,Chris Lett,2007
ol,"La Canada, California",St. Francis,78,298,,3,5.6,13,Washington State,Andrew Roxas,2007
rb,"Pittsburgh, Pennsylvania",Woodland Hills,78,232,4.6,2,5.3,13,Colorado,Devan Johnson,2007
rb,"Anderson, South Carolina",T. L. Hanna,78,215,4.5,4,5.8,13,South Carolina,Brian Maddox,2007
te,"Kirkland, Washington",Lake Washington,78,240,4.7,4,5.8,13,Washington,Chris Izbicki,2007
lb,"Overland Park, Kansas",St. Thomas Aquinas,78,222,4.7,4,5.8,13,Notre Dame,Brian Smith,2007
ath,"Durham, North Carolina",Hillside,78,214,4.7,4,5.9,13,North Carolina,Greg Little,2007
de,"Memphis, Tennessee",University School,78,225,4.7,4,5.8,13,Vanderbilt,John Stokes,2007
ol,"Belle Glade, Florida",Glades Central,78,330,5.3,4,5.8,13,LSU,Ernest McCoy,2007
k,"Oklahoma City, Oklahoma",Heritage Hall,65,170,,3,5.5,13,Oklahoma,Jimmy Stevens,2007
db,"Greensburg, Pennsylvania",Central Catholic,78,200,4.5,4,5.9,13,Penn State,Nick Sukay,2007
de,"Baton Rouge, Louisiana",Catholic,78,262,4.8,4,5.8,13,Georgia Tech,Jason Peters,2007
qb,"Hazelwood, Missouri",Central High,78,180,4.6,3,5.7,13,Iowa,Marvin McNutt,2007
ol,"Wadesboro, North Carolina",Anson,78,280,5.0,4,5.8,14,Georgia,Trinton Sturdivant,2007
wr,"Sterlington, Louisiana",Sterlington,78,175,4.4,4,5.9,14,Tennessee,Ahmad Paige,2007
lb,"Oxford, Mississippi",Oxford,78,214,4.6,3,5.7,14,Stanford,Jonathan Frink,2007
ath,"Cedar Hill, Texas",Cedar Hill,65,165,4.5,4,5.9,14,Oklahoma State,William Cole,2007
de,"Alcoa, Tennessee",Alcoa,78,240,4.7,4,5.8,14,Tennessee,Rae Sykes,2007
db,"Seguin, Texas",Seguin,65,187,4.5,4,5.8,14,Oklahoma,Desmond Jackson,2007
dt,"Hilliard, Ohio",Darby,78,280,5.1,4,5.9,14,Michigan State,Antonio Jeremiah,2007
db,"Hollywood, Florida",Chaminade Madonna,65,175,4.5,4,5.8,14,South Carolina,Akeem Auguste,2007
rb,"Little Rock, Arkansas",Pulaski Academy,78,230,4.6,4,5.8,14,USC,Broderick Green,2007
qb,"Orchard Lake, Michigan",St. Mary's,78,191,4.7,3,5.7,14,Purdue,Justin Siller,2007
ol,"Ronda, North Carolina",East Wilkes,78,275,5.0,4,5.9,14,Clemson,Landon Walker,2007
de,"LaGrange, Georgia",La Grange,78,263,4.7,4,5.8,14,Kentucky,D.J. Stafford,2007
ol,"Dallas, Texas",Carter,78,301,,3,5.5,14,Kansas,Jeremiah Hatch,2007
te,"Paris, Arkansas",Paris,78,243,4.9,4,5.8,14,Arkansas,Grant Freeman,2007
lb,"Memphis, Tennessee",Christian Brothers,78,220,4.6,4,5.8,14,Tennessee,Chris Walker,2007
qb,"Ramsey, New Jersey",Don Bosco Prep,78,200,4.8,3,5.7,14,Louisville,Matt Simms,2007
rb,"Lakewood, Ohio",St. Edward,65,180,4.4,3,5.6,14,Ball State,Frank Edmonds,2007
k,"Coral Springs, Florida",Coral Springs,78,215,4.6,2,5.4,14,UCF,Blake Clingan,2007
