position,location,school,height,weight,fourty,stars,rating,rank,institution,name,year
lb,"Lake Mary, Florida","",78,215,4.5,5,6.1,1,USC,Keith Rivers,2004
rb,"Spring, Texas",Westfield,65,200,4.4,4,5.9,1,Iowa State,Webster Patrick,2004
db,"Houston, Texas",Lamar,78,210,4.5,4,6.0,1,Texas,Andrew Kelson,2004
qb,"Grand Prairie, Texas","",78,205,4.6,5,6.1,1,Oklahoma,Rhett Bomar,2004
rb,"Palestine, Texas","",78,210,4.4,5,6.1,1,Oklahoma,Adrian Peterson,2004
rb,"Lakewood, New Jersey","",78,233,4.5,4,6.0,1,Rutgers,Dwayne Jones,2004
qb,"Daytona Beach, Florida",Seabreeze,78,200,4.5,5,6.1,1,Florida State,Xavier Lee,2004
dt,"Greensboro, North Carolina",Dudley,78,285,4.8,5,6.1,1,North Carolina State,DeMario Pressley,2004
k,"Aberdeen, South Dakota",Central,65,180,,3,5.5,1,Wisconsin,Taylor Mehlhaff,2004
db,"Cleveland, Ohio",Glenville Academic Campus,78,170,4.4,5,6.1,1,Ohio State,"Theodore Ginn, Jr",2004
te,"Phoenix, Arizona",Desert Vista,78,240,4.7,4,6.0,1,Arizona State,Zach Miller,2004
de,"Oak Creek, Wisconsin","",78,265,4.7,4,6.0,1,Miami (FL),Rhyan Anderson,2004
ol,"Loveland, Colorado","",78,280,4.8,5,6.1,1,USC,Jeff Byers,2004
lb,"Miami, Florida",Carol City,78,225,4.4,5,6.1,1,Miami (FL),Willie Williams,2004
ath,"Fort Valley, Georgia",Peach County,78,185,4.4,4,6.0,1,Georgia,Alonzo Bryant,2004
de,"Colquitt, Georgia",Miller County,78,225,4.7,5,6.1,1,Georgia,Brandon Miller,2004
ol,"Tallahassee, Florida",Lincoln,78,275,4.9,4,6.0,1,North Carolina,Calvin Darity,2004
ol,"Los Angeles, California",Fremont,78,292,4.8,5,6.1,1,USC,Thomas Herring,2004
wr,"St. Martinville, Louisiana","",78,207,4.4,5,6.1,1,LSU,Early Doucet,2004
de,"Greenbelt, Maryland",Eleanor Roosevelt,78,235,4.7,5,6.1,2,Florida,Derrick Harvey,2004
db,"Neptune Beach, Florida",Fletcher,78,190,4.5,4,6.0,2,Florida,Kyle Jackson,2004
de,"Allen, Texas","",78,265,4.7,4,6.0,2,Texas A&M,Chris Smith,2004
ol,"Garland, Texas",Lakeview Centennial,78,315,5.2,4,6.0,2,Texas,Cedric Dockery,2004
dt,"Richardson, Texas",Lake Highlands,78,300,4.9,5,6.1,2,Texas,Franklin Okam,2004
lb,"Wallingford, Pennsylvania",Strath Haven,78,215,4.6,5,6.1,2,Penn State,Dan Connor,2004
rb,"Corona, California",Centennial,65,190,4.4,4,5.8,2,Oregon,Terrell Jackson,2004
qb,"Woodinville, Washington",Woodinville,78,200,4.5,5,6.1,2,Washington,Matthew Tuiasosopo,2004
k,"Southlake, Texas",Carroll,65,175,,3,5.5,2,Oklahoma,Garrett Hartley,2004
db,"Jacksonville, Florida",Mandarin,65,175,4.4,4,6.0,2,Florida State,Tony Carter,2004
te,"Corona, California",Santiago,78,240,4.6,4,5.9,2,USC,Dale Thompson,2004
qb,"Pittsburgh, Pennsylvania",Penn Hills,78,208,4.7,5,6.1,2,Penn State,Anthony Morelli,2004
wr,"Concord, California",De La Salle,78,193,4.4,5,6.1,2,Oregon,Cameron Colvin,2004
ol,"Chicago, Illinois",Harper High School,78,326,5.1,4,6.0,2,Michigan State,Roland Martin,2004
rb,"Conway, Arkansas","",78,245,4.7,4,5.8,2,Arkansas,Peyton Hillis,2004
ol,"Lake Charles, Louisiana",Barbe,78,310,5.3,4,5.9,2,LSU,Ryan Miller,2004
ath,"New Brunswick, New Jersey","",78,205,4.4,4,6.0,2,USC,Dwayne Jarrett,2004
lb,"Bolingbrook, Illinois","",78,217,4.6,5,6.1,2,Iowa,Kyle Williams,2004
rb,"Oakland, California",Technical,65,195,4.4,4,6.0,2,California,Marshawn Lynch,2004
ath,"Hawthorne, Florida",Hawthorne,78,215,4.6,4,6.0,3,Florida,Cornelius Ingram,2004
db,"Waco, Texas","",65,180,4.4,4,6.0,3,Oklahoma,Marcus Walker,2004
ol,"Denton, Texas","",78,350,5.3,4,6.0,3,LSU,Herman Johnson,2004
