position,location,school,height,weight,fourty,stars,rating,rank,institution,name,year
rb,"Duncan, South Carolina",Byrnes,78,210,4.5,5,6.1,1,South Carolina,Marcus Lattimore,2010
ath,"Gardena, California",Junipero Serra,78,180,4.4,5,6.1,1,USC,Robert Woods,2010
db,"Greensboro, North Carolina",Northern Guilford,0,195,4.6,5,6.1,1,California,Keenan Allen,2010
ol,"Saint Paul, Minnesota",Cretin-Derham Hall,78,301,,5,6.1,1,Miami (FL),Seantrel Henderson,2010
dt,"Philadelphia, Pennsylvania",George Washington,78,310,,5,6.1,1,Florida,Sharrif Floyd,2010
de,"Moreno Valley, California",Rancho Verde,78,230,4.5,5,6.1,1,Florida,Ronald Powell,2010
db,"Fort Lauderdale, Florida",St. Thomas Aquinas,0,166,4.5,5,6.1,1,Florida State,Lamarcus Joyner,2010
wr,"Hillside, Illinois",Proviso West,0,205,4.6,5,6.1,1,USC,Kyle Prater,2010
de,"Plano, Texas",Plano West,78,230,,5,6.1,1,Texas,Jackson Jeffcoat,2010
lb,"West Chester, Ohio",Lakota West,78,220,4.6,5,6.1,1,Texas,Jordan Hicks,2010
te,"Las Vegas, Nevada",Bishop Gorman,78,245,4.7,4,6.0,1,USC,Xavier Grimble,2010
ol,"Galena Park, Texas",North Shore,78,270,,4,5.9,1,Texas,Trey Hopkins,2010
k,"Broomfield, Colorado",Legacy,78,200,,3,5.5,1,UCLA,Kip Smith,2010
ol,"Cedar Park, Texas",Cedar Park,78,295,5.0,4,5.9,1,Texas,Dominic Espinosa,2010
rb,"Eureka, California",Eureka,78,251,4.6,4,5.8,1,USC,Soma Vainuku,2010
rb,"San Diego, California",Mission Bay,65,187,4.5,5,6.1,1,USC,Dillon Baxter,2010
lb,"Port St. Lucie, Florida",Treasure Coast,78,230,4.7,4,6.0,1,Florida State,Jeff Luc,2010
qb,"Detroit, Michigan",Inkster,78,195,,4,5.9,1,Michigan,Devin Gardner,2010
qb,"Sammamish, Washington",Skyline,78,195,4.8,4,5.9,1,Brigham Young,Jake Heaps,2010
db,"West Palm Beach, Florida",Dwyer,78,205,,5,6.1,2,Florida,Matt Elam,2010
dt,"Staten Island, New York",Curtis,78,258,4.7,5,6.1,2,Florida,Dominique Easley,2010
rb,"San Diego, California",Scripps Ranch,78,190,4.5,4,5.9,2,Oklahoma,Brennan Clay,2010
ol,"Bamberg, South Carolina",Bamberg-Ehrhardt,78,260,5.1,4,5.8,2,South Carolina,A.J. Cann,2010
rb,"Little Rock, Arkansas",Little Rock Christian,65,201,4.4,5,6.1,2,Auburn,Michael Dyer,2010
ath,"Cleveland, Ohio",Glenville Academic Campus,65,185,4.4,5,6.1,2,Miami (FL),Latwan Anderson,2010
de,"Aurora, Colorado",Grandview High School,78,240,4.7,5,6.1,2,California,Chris Martin,2010
de,"Portland, Oregon",David Douglas,78,234,,5,6.1,2,UCLA,Owamagbe Odighizuwa,2010
lb,"Frederick, Maryland",Thomas Johnson,78,223,4.6,4,5.9,2,California,Nick Forbes,2010
k,"Ft. Lauderdale, Florida",St. Thomas Aquinas,78,170,,3,5.5,2,Tennessee,Michael Palardy,2010
wr,"Calhoun, Georgia",Calhoun,78,206,4.4,5,6.1,2,Tennessee,Da'Rick Rogers,2010
qb,"Orchard Lake, Michigan",St. Mary's,78,195,4.5,4,5.9,2,Penn State,Robert Bolden,2010
ol,"Raleigh, North Carolina",Athens Drive,78,299,5.3,5,6.1,2,North Carolina State,Robert Crisp,2010
lb,"Winter Park, Florida",Lake Howell,78,220,,5,6.1,2,Florida State,Christian Jones,2010
rb,"Frederick, Maryland",Linganore,78,230,4.5,4,5.8,2,Penn State,Zach Zwinak,2010
ol,"Petersburg, Virginia",Petersburg,78,330,5.2,4,5.9,2,West Virginia,Quinton Spain,2010
te,"West Palm Beach, Florida",Dwyer,78,220,4.7,4,5.9,2,Florida,Gerald Christian,2010
db,"Millbrook, Alabama",Stanhope Elmore,78,180,4.5,5,6.1,2,Alabama,DeMarcus Milliner,2010
qb,"Chesapeake, Virginia",Oscar Smith,78,209,4.8,4,5.9,2,Alabama,Phillip Sims,2010
rb,"Temple, Texas",Temple,0,192,4.5,5,6.1,3,Oregon,Lache Seastrunk,2010
de,"Hialeah, Florida",Hialeah,0,223,5.1,4,6.0,3,Auburn,Corey Lemonier,2010
lb,"Garland, Texas",Garland,78,230,4.5,4,6.0,3,Texas,Tevin Jackson,2010
qb,"Houston, Texas",Second Baptist,78,209,4.6,4,5.9,3,Texas,Connor Wood,2010
qb,"Memphis, Tennessee",Memphis University School,78,207,4.8,4,5.8,3,West Virginia,Barry Brunetti,2010
de,"Detroit, Michigan",Southeastern,78,237,,5,6.1,3,Michigan State,William Gholston,2010
