stadium,city,state,team,conference,capacity,record,built,expanded,place_gid,statefp,placefp,alt,name,lon,lat,nickname,first_played,joined_fbs,pop_est_2013,seats_per_100
Huskie Stadium,DeKalb,IL,NIU,MAC,25500,28221,1965,1995,10656,17,19161,Northern Illinois,DeKalb,-88.77783712989712,41.93395046071788,Huskies,1899,,43849,58.2
Ryan Field,Evanston,IL,Northwestern,Big Ten,47130,55752,1926,1997,11039,17,24582,,Evanston,-87.69251040405904,42.06543156510779,Wildcats,1875,,75570,62.4
Memorial Stadium,Bloomington,IN,Indiana,Big Ten,52959,56223,1960,2010,12257,18,05860,,Bloomington,-86.52563168253606,39.180903258805756,Hoosiers,1887,,82575,64.1
Scheumann Stadium,Muncie,IN,Ball State,MAC,22500,23861,1967,2007,12075,18,51876,,Muncie,-85.41678265306246,40.21601498231803,Cardinals,1924,,70316,32.0
Notre Dame Stadium,Notre Dame,IN,Notre Dame,Independent,80795,80795,1930,1997,12580,18,71000,,Notre Dame,-86.23390469527823,41.69838308702634,Fighting Irish,1887,,100886,80.1
Ross–Ade Stadium,West Lafayette,IN,Purdue,Big Ten,62500,71629,1924,2006,12227,18,82862,,West Lafayette,-86.91842057918609,40.434436427864654,Boilermakers,1887,,30875,202.4
Jack Trice Stadium,Ames,IA,Iowa State,Big 12,55000,56800,1975,2008,13174,19,01855,,Ames,-93.63578202976446,42.013997692790326,Cyclones,1892,,61792,89.0
Kinnick Stadium,Iowa City,IA,Iowa,Big Ten,70585,70585,1929,2006,13064,19,38595,,Iowa City,-91.55108943061629,41.65865637268956,Hawkeyes,1889,,71591,98.6
Memorial Stadium,Lawrence,KS,Kansas,Big 12,50071,52530,1921,1999,14040,20,38900,,Lawrence,-95.2463575784482,38.96300268396291,Jayhawks,1890,,90811,55.1
Bill Snyder Family Stadium,Manhattan,KS,Kansas State,Big 12,50000,53811,1968,2005,13948,20,44250,,Manhattan,-96.5938444403952,39.20201169711763,Wildcats,1896,,56143,89.1
Houchens Industries–L. T. Smith Stadium,Bowling Green,KY,Western Kentucky,Sun Belt,22000,22297,1968,2008,14319,21,08902,,Bowling Green,-86.459404,36.98479,Hilltoppers,1913,2009,61488,35.8
Commonwealth Stadium,Lexington,KY,Kentucky,SEC,67606,71024,1973,1999,14400,21,46027,,Lexington-Fayette,-84.50519809485722,38.0227341350747,Wildcats,1881,,308428,21.9
Papa John's Cardinal Stadium,Louisville,KY,Louisville,American,56000,55386,1998,2010,14486,21,48006,,Louisville,-85.7587915497651,38.20591072617739,Cardinals,1910,,609893,9.2
Tiger Stadium,Baton Rouge,LA,LSU,SEC,92542,93374,1924,2006,4388,22,05000,,Baton Rouge,-91.1845626,30.4113831,Tigers,1893,,229426,40.3
Cajun Field,Lafayette,LA,Louisiana-Lafayette,Sun Belt,31000,41357,1971,,4650,22,40735,,Lafayette,-92.04172254735356,30.215865089638854,Ragin' Cajuns,1902,,124276,24.9
Malone Stadium,Monroe,LA,Louisiana-Monroe,Sun Belt,30427,31175,1978,1993,4431,22,51410,,Monroe,-92.06606,32.530809,Warhawks,1951,1994,49761,61.1
Mercedes-Benz Superdome,New Orleans,LA,Tulane,C-USA,69703,79651,1975,2006,4639,22,55000,,New Orleans,-90.08091962731356,29.95108861868053,Green Wave,1893,,378715,18.4
Joe Aillet Stadium,Ruston,LA,Louisiana Tech,C-USA,30600,28714,1968,1989,4626,22,66655,,Ruston,-92.6559301617662,32.53213470315431,Bulldogs,1901,1989,22287,137.3
Navy–Marine Corps Memorial Stadium,Annapolis,MD,Navy,Independent,34000,37970,1959,2005,21918,24,01600,,Annapolis,-76.50709062691315,38.98477306134845,Midshipmen,1879,,38722,87.8
Byrd Stadium,College Park,MD,Maryland,ACC,51802,58973,1950,2009,21846,24,18750,,College Park,-76.94726739204212,38.990283482935695,Terrapins,1888,,31274,165.6
Alumni Stadium,Chestnut Hill,MA,Boston College,ACC,44500,44500,1957,1995,22387,25,07000,,Boston,-71.166033,42.334776,Eagles,1893,,645966,6.9
Gillette Stadium,Foxborough,MA,UMass,MAC,68756,68756,2002,,22483,25,24820,,Foxborough,-71.26436478937578,42.090928291427275,Minutemen,1879,2012,17257,398.4
Michigan Stadium,Ann Arbor,MI,Michigan,Big Ten,109901,115109,1927,2010,14961,26,03000,,Ann Arbor,-83.74871581355313,42.265874528217296,Wolverines,1878,,117025,93.9
Spartan Stadium,East Lansing,MI,Michigan State,Big Ten,75005,80401,1923,2005,14934,26,24120,,East Lansing,-84.48486953310051,42.72816982261216,Spartans,1885,,48554,154.5
Waldo Stadium,Kalamazoo,MI,Western Michigan,MAC,30200,36361,1939,2003,14974,26,42160,,Kalamazoo,-85.6010956926663,42.2857434185232,Broncos,1905,,75548,40.0
Kelly/Shorts Stadium,Mount Pleasant,MI,Central Michigan,MAC,30199,30302,1972,1997,15137,26,56020,,Mount Pleasant,-84.77083987649056,43.57763763930771,Chippewas,1896,,26185,115.3
Rynearson Stadium,Ypsilanti,MI,Eastern Michigan,MAC,30200,26188,1969,1992,14967,26,89140,,Ypsilanti,-83.64736442105183,42.25592365459724,Eagles,1891,,19809,152.5
TCF Bank Stadium,Minneapolis,MN,Minnesota,Big Ten,50805,50805,2009,,15700,27,43000,,Minneapolis,-93.22456700473496,44.97653060722686,Golden Gophers,1882,,400070,12.7
